"PPEE"	"PPDE"	"PostFC"	"RealFC"	"C1Mean"	"C2Mean"
"NR_033776"	0	1	0.238071213766631	0.237607569703602	196.065378846284	825.196785671322
"NM_001002895"	0	1	0.230134412509928	0.229366304848245	115.429793169788	503.288831300291
"NR_033139"	0	1	0.231034945578439	0.23061257726735	356.853409200353	1547.44857068602
"NM_001039220"	0	1	0.226796941361108	0.226544865245675	348.928749647028	1540.2533348967
"NM_001286641"	0	1	0.262703234190846	0.262561587402676	1161.62727901682	4424.2368615003
"NR_040330"	0	1	4.31708027903823	4.32896153520668	606.880670409665	140.183130725217
"NM_001033197"	0	1	0.270715682556971	0.270556638173032	622.963885706252	2302.55366989537
"NM_001035526"	0	1	0.237275064195254	0.237052019632632	688.997133509155	2906.55512683137
"NM_134067"	0	1	0.269053209530198	0.268651672826117	415.664915121293	1547.25345363327
"NR_110489"	0	1	0.238366372704639	0.237877319757254	186.017169511401	782.019870276138
"NM_194347"	0	1	0.284695842658003	0.284380455045862	323.866154896592	1138.87331335696
"NM_001198787"	0	1	0.271689773907159	0.271536806101307	1098.866358534	4046.86811686206
"NM_011920"	0	1	4.13401829985716	4.13712890283288	2093.08581443327	505.919562165693
"NR_104382"	0	1	0.237879874684602	0.23761701394792	585.560240898387	2464.3347502742
"NM_030718"	0	1	0.247433674442151	0.246962022158643	334.922095441624	1356.1989122613
"NM_130864"	0	1	0.274546280272746	0.274269066423926	364.995280256818	1330.81919271926
"NM_177470"	0	1	0.24820658861484	0.247888040177788	293.762894502446	1185.09313886765
"NM_001102436"	0	1	0.161644997436669	0.161354777267929	396.163983302018	2455.28751278559
"NM_001242606"	0	1	0.233396311379351	0.233061447639432	453.489669572595	1945.82734961692
"NM_134037"	0	1	0.255919608533729	0.255746520206398	934.460435829289	3653.88306206448
"NM_019807"	0	1	0.255222316709338	0.255034988339634	515.634507914838	2021.84790770067
"NM_001205049"	0	1	0.252656489746982	0.25211847068971	297.657230298809	1180.65411193314
"NM_001277245"	0	1	0.269169702791412	0.268690602618515	348.364570979736	1296.55403158378
"NM_016870"	0	1	4.15491841120773	4.15987478829248	2250.6391805952	541.027722320251
"NM_001171640"	0	1	0.242644374487939	0.242345894268893	308.772784367146	1274.13077015284
"NM_001277257"	0	1	0.245815672275994	0.245595631864796	715.47321152976	2913.2470725999
"NM_029344"	0	1	0.262055616508439	0.261358202667785	138.858043314528	531.322255490924
"NM_001290812"	0	1	0.248520519281692	0.248168304094023	450.038288524228	1813.47013062022
"NM_007400"	0	1	4.24109256161235	4.24219665320953	6253.30402210146	1474.06452631183
"NM_175939"	0	1	0.25149627599873	0.251315646851914	522.938323450488	2080.83267733092
"NM_145745"	0	1	3.87876453128254	3.881563201666	2030.42262386237	523.086628438483
"NM_172133"	0	1	0.230927274956449	0.230626121846898	295.73789718335	1282.35946801579
"NM_028105"	0	1	0.224214836433831	0.223870134469637	428.240250540474	1912.93051596041
"NM_023341"	0	1	0.246399756163589	0.246199888044364	789.011994599901	3204.79241021768
"NM_009622"	0	1	3.94890943265678	3.94951868912746	9599.26799894796	2430.48311942075
"NM_001109756"	0	1	0.299786314828209	0.29966129573439	1426.54544215741	4760.54954660845
"NM_009624"	0	1	0.270139164934829	0.270038600126112	1665.79296111896	6168.74868983547
"NM_001033468"	0	1	3.79463202545621	3.79873071251902	2201.50745259372	579.530277845557
"NM_198702"	0	1	0.250189603421825	0.250107541002971	1147.52791039659	4588.16797254244
"NM_001288578"	0	1	4.11745649233439	4.12624601953104	1243.91374836252	301.456209836877
"NM_009605"	0	1	0.268240541693733	0.267856506123709	256.280320750753	956.809471961552
"NM_009636"	0	1	0.276156565943136	0.275961700775986	871.280526167997	3157.27785450294
"NM_009637"	0	1	0.280185627372715	0.280016814756742	607.183697218835	2168.40869923534
"NM_009645"	0	1	0.272831253049825	0.272642809600567	528.290863222165	1937.69326822904
"NM_153779"	0	1	0.255993568281782	0.255384439007608	265.123987572358	1038.1659695408
"NM_001162970"	0	1	4.39213782844321	4.39405698999866	3899.95537993139	887.544574009423
"NM_001081277"	0	1	0.270633281350754	0.270481975938685	654.72102643276	2420.59870843823
"NM_009731"	0	1	3.98699048642249	3.99288846667721	1015.42193098058	254.300116462032
"NM_007434"	0	1	0.233045328462027	0.232774331606752	559.933603850059	2405.51126166568
"NM_001177307"	0	1	0.241957747631913	0.241437796951118	299.175316863287	1239.17177121149
"NM_011786"	0	1	0.281027874872337	0.280850432283911	571.41915809555	2034.62869878574
"NM_028717"	0	1	0.255643491231882	0.255521743327822	1327.84640478204	5196.63740655149
"NM_001303431"	0	1	0.261266713158707	0.260849482385797	392.54911815838	1504.91580843148
"NM_001290371"	0	1	0.232848563702311	0.231837861424978	149.560509912003	645.14135272848
"NM_001005421"	0	1	0.252466335569292	0.252277003759826	500.160353080013	1982.61364633198
"NM_153515"	0	1	4.20571677060232	4.20866665358347	3887.47426183689	923.675476141689
"NM_001113424"	0	1	0.235960382719023	0.235483280448329	189.354071927775	804.140815154481
"NM_153319"	0	1	0.270141137503155	0.270074044204693	1494.05716018022	5532.05497344056
"NM_001038230"	0	1	0.267261083605275	0.267020889415071	692.356029819805	2592.91833357151
"NM_001291349"	0	1	0.260196925002596	0.259222882431839	167.335979688049	645.55793026191
"NM_145154"	0	1	3.81456847350755	3.81914620890395	1179.11685158318	308.730955984917
"NM_013468"	0	1	0.272106596371066	0.271836630368673	368.034047282376	1353.9063091568
"NM_145633"	0	1	3.81898393838917	3.8206081838222	3372.09413957204	882.599254162914
"NM_026241"	0	1	0.232531275968681	0.232265602115148	336.912395155609	1450.5810134234
"NM_001199955"	0	1	0.237740880246573	0.23632869901396	108.415744184773	458.782117238239
"NM_001254953"	0	1	3.75352487338411	3.75875881807348	992.963016036404	264.165772933828
"NM_001167757"	0	1	0.253840261718104	0.253157531416845	235.157465829761	928.92726887603
"NM_001271884"	0	1	0.241469435549965	0.241260099736527	743.041316089871	3079.86651875024
"NM_178381"	0	1	3.91385684746977	3.91619535730486	2450.33068473055	625.684190704748
"NM_008486"	0	1	0.243903394795119	0.24376247732668	656.758662173785	2694.28761863477
"NM_001136089"	0	1	0.234277149847233	0.233838772300153	347.161112530096	1484.65017467997
"NM_011922"	0	1	0.268301279653633	0.267858407433451	376.14158184917	1404.28260911896
"NM_013469"	0	1	0.289356582021546	0.289167595248223	546.003100469198	1888.21367873032
"NM_023631"	0	1	0.266524941103939	0.266433167477008	1069.26362545722	4013.2802205184
"NM_001303015"	0	1	3.98656105783823	3.99439024353923	1295.10713697684	324.22400269206
"NM_080434"	0	1	0.26587331470679	0.265665987774508	472.362229422131	1778.05814255452
"NM_001289833"	0	1	0.233084862592312	0.231111050003791	76.314832555165	330.241766646004
"NM_001143686"	0	1	3.62385777602377	3.62673422029447	1682.38351742868	463.876630570928
"NM_001025445"	0	1	0.296948867845998	0.296807916397123	1258.3259422101	4239.55327541637
"NM_175087"	0	1	0.264862127105954	0.264634179945218	428.551998440774	1619.44066404306
"NM_178407"	0	1	0.24837461202642	0.248309964261853	1449.68014965509	5838.2178534998
"NM_001301831"	0	1	0.261227734495641	0.261071895165331	629.381917124331	2410.78920427954
"NM_153820"	0	1	0.283592823645394	0.283303448675819	596.138671040914	2104.26608215628
"NM_001122642"	0	1	0.385158949631894	0.384965410715151	1039.47927692852	2700.20474136458
"NM_027667"	0	1	0.248295617491716	0.248139219153336	1013.70089183159	4085.24059154462
"NM_001286610"	0	1	0.226506279405265	0.226278343562668	652.65588780503	2884.33976820605
"NM_001005508"	0	1	3.91889876694803	3.92051122202505	3563.73993196613	908.991334301846
"NM_001081116"	0	1	4.08896141014294	4.08973452487909	8205.33339121783	2006.31665550838
"NM_001198912"	0	1	0.263775405361803	0.263595996123561	919.397585712182	3487.93215099234
"NM_027871"	0	1	0.272329907233013	0.272106091248276	751.933904900225	2763.41180158743
"NM_001145452"	0	1	0.2415832386699	0.241440317490182	643.350266071716	2664.66619310465
"NM_001085355"	0	1	0.241776823253801	0.241734751856069	2187.66254027112	9049.87845614418
"NM_001288625"	0	1	3.65357040913822	3.65563157978737	4000.20045368684	1094.24973771665
"NM_007880"	0	1	0.0165781791756354	0.000195987515776219	0	51.0136581161533
"NM_001007578"	0	1	0.257256125934991	0.257017764916012	402.151136412276	1564.7111644833
"NM_001037737"	0	1	0.235771030122645	0.235585998528288	827.038227567273	3510.59008970765
